 ,Area,Min,Max,Slice
777,259,255,255,1
778,371,255,255,1
779,262,255,255,1
780,327,255,255,1
781,386,255,255,1
782,104,255,255,1
783,285,255,255,1
784,389,255,255,1
785,361,255,255,1
786,475,255,255,1
787,293,255,255,1
788,290,255,255,1
789,417,255,255,1
790,439,255,255,1
791,340,255,255,1
792,278,255,255,1
793,353,255,255,1
794,304,255,255,1
795,288,255,255,1
796,358,255,255,1
797,334,255,255,1
798,465,255,255,1
799,460,255,255,1
800,280,255,255,1
801,268,255,255,1
802,322,255,255,1
803,308,255,255,1
804,278,255,255,1
805,276,255,255,1
806,302,255,255,1
807,369,255,255,1
808,266,255,255,1
809,285,255,255,1
810,274,255,255,1
811,276,255,255,1
812,270,255,255,1
813,306,255,255,1
814,298,255,255,1
815,284,255,255,1
816,305,255,255,1
817,298,255,255,1
818,403,255,255,1
819,359,255,255,1
820,249,255,255,1
821,366,255,255,1
822,345,255,255,1
823,272,255,255,1
824,287,255,255,1
825,313,255,255,1
826,275,255,255,1
827,332,255,255,1
828,364,255,255,1
829,288,255,255,1
830,261,255,255,1
831,281,255,255,1
832,294,255,255,1
833,275,255,255,1
834,164,255,255,1
835,51,255,255,1
836,305,255,255,1
837,302,255,255,1
838,331,255,255,1
839,302,255,255,1
840,255,255,255,1
841,333,255,255,1
842,161,255,255,1
843,325,255,255,1
844,308,255,255,1
845,306,255,255,1
846,401,255,255,1
847,328,255,255,1
848,368,255,255,1
849,262,255,255,1
850,320,255,255,1
851,315,255,255,1
852,271,255,255,1
853,301,255,255,1
854,327,255,255,1
855,332,255,255,1
856,319,255,255,1
857,279,255,255,1
858,167,255,255,1
859,361,255,255,1
860,386,255,255,1
861,279,255,255,1
862,308,255,255,1
863,223,255,255,1
864,27,255,255,1
865,433,255,255,1
866,345,255,255,1
867,190,255,255,1
868,268,255,255,1
869,354,255,255,1
870,279,255,255,1
871,182,255,255,1
872,427,255,255,1
873,305,255,255,1
874,230,255,255,1
875,272,255,255,1
876,285,255,255,1
877,289,255,255,1
878,294,255,255,1
879,279,255,255,1
880,303,255,255,1
881,266,255,255,1
882,222,255,255,1
883,280,255,255,1
884,399,255,255,1
885,310,255,255,1
886,300,255,255,1
887,283,255,255,1
888,266,255,255,1
889,301,255,255,1
890,297,255,255,1
891,346,255,255,1
892,303,255,255,1
893,407,255,255,1
894,292,255,255,1
895,293,255,255,1
896,296,255,255,1
897,424,255,255,1
898,302,255,255,1
899,393,255,255,1
900,271,255,255,1
901,314,255,255,1
902,450,255,255,1
903,407,255,255,1
904,288,255,255,1
905,456,255,255,1
906,281,255,255,1
907,257,255,255,1
908,255,255,255,1
909,350,255,255,1
910,336,255,255,1
911,310,255,255,1
912,246,255,255,1
913,327,255,255,1
914,215,255,255,1
915,471,255,255,1
916,295,255,255,1
917,379,255,255,1
918,328,255,255,1
919,220,255,255,1
920,255,255,255,1
921,306,255,255,1
922,368,255,255,1
923,425,255,255,1
924,482,255,255,1
925,135,255,255,1
926,306,255,255,1
927,368,255,255,1
928,423,255,255,1
